datetime,carbon_intensity,cfe_pct,re_pct,region,temp_c,wind_speed,cloud_cover,solar_radiation,hour,day_of_week,month
2023-01-01 00:00:00,214.4,52.17,37.92,california,13.7,8.3,100,22.0,0,6,1
2023-01-01 01:00:00,216.88,51.81,37.98,california,10.8,31.0,100,3.0,1,6,1
2023-01-01 02:00:00,220.01,51.73,37.4,california,10.6,22.5,100,0.0,2,6,1
2023-01-01 03:00:00,225.41,50.74,35.82,california,10.6,23.7,100,0.0,3,6,1
2023-01-01 04:00:00,220.87,51.68,36.49,california,10.9,18.4,100,0.0,4,6,1
2023-01-01 05:00:00,230.5,49.58,33.9,california,11.1,20.5,100,0.0,5,6,1
2023-01-01 06:00:00,243.77,46.45,30.37,california,11.2,22.0,100,0.0,6,6,1
2023-01-01 07:00:00,241.55,47.36,30.6,california,10.9,18.5,18,0.0,7,6,1
2023-01-01 08:00:00,221.7,52.01,34.72,california,9.2,12.9,7,0.0,8,6,1
2023-01-01 09:00:00,215.0,53.9,36.38,california,9.4,11.7,13,0.0,9,6,1
2023-01-01 10:00:00,206.48,56.54,38.59,california,9.2,9.0,28,0.0,10,6,1
2023-01-01 11:00:00,205.82,57.03,38.8,california,6.9,7.0,17,0.0,11,6,1
2023-01-01 12:00:00,215.45,54.34,36.21,california,8.4,7.2,0,0.0,12,6,1
2023-01-01 13:00:00,216.57,53.64,36.01,california,8.4,10.2,20,0.0,13,6,1
2023-01-01 14:00:00,213.29,54.44,37.1,california,8.1,9.0,42,0.0,14,6,1
2023-01-01 15:00:00,194.95,57.63,41.01,california,8.0,8.0,9,0.0,15,6,1
2023-01-01 16:00:00,151.61,67.7,52.14,california,7.6,6.4,3,15.0,16,6,1
2023-01-01 17:00:00,125.12,73.28,59.04,california,9.6,7.1,1,145.0,17,6,1
2023-01-01 18:00:00,119.86,73.73,60.23,california,11.1,13.0,0,307.0,18,6,1
2023-01-01 19:00:00,121.85,72.83,59.93,california,11.9,13.8,0,434.0,19,6,1
2023-01-01 20:00:00,126.46,71.98,59.18,california,13.1,15.3,0,507.0,20,6,1
2023-01-01 21:00:00,122.53,72.8,60.2,california,14.0,20.2,0,520.0,21,6,1
2023-01-01 22:00:00,124.07,72.96,58.93,california,14.8,19.7,0,470.0,22,6,1
2023-01-01 23:00:00,147.89,67.64,53.22,california,14.9,18.3,25,364.0,23,6,1
2023-01-02 00:00:00,189.75,57.76,42.56,california,13.8,15.7,62,214.0,0,0,1
2023-01-02 01:00:00,207.79,53.13,38.72,california,11.4,12.8,19,54.0,1,0,1
2023-01-02 02:00:00,213.71,52.04,37.98,california,9.6,10.7,57,0.0,2,0,1
2023-01-02 03:00:00,214.2,52.12,37.95,california,7.9,8.2,58,0.0,3,0,1
2023-01-02 04:00:00,216.54,52.2,37.62,california,7.3,6.9,99,0.0,4,0,1
2023-01-02 05:00:00,220.28,51.96,36.79,california,6.7,9.1,84,0.0,5,0,1
2023-01-02 06:00:00,225.27,51.16,35.6,california,8.9,5.1,82,0.0,6,0,1
2023-01-02 07:00:00,228.6,50.64,34.3,california,9.2,3.2,98,0.0,7,0,1
2023-01-02 08:00:00,247.55,46.1,29.79,california,9.1,2.3,100,0.0,8,0,1
